iter	RMSE
0	419.5901939
1	397.6034668
2	377.6780958
3	360.1072074
4	345.0560644
5	331.6628176
6	320.0723284
7	309.6839371
8	300.1928932
9	291.8509672
10	284.5406523
11	278.4147289
12	272.9347546
13	267.5629684
14	262.993056
15	258.8032886
16	255.1268796
17	250.283539
18	247.2322834
19	244.7125895
20	240.7925802
21	238.2691149
22	236.3053195
23	234.5105786
24	232.6950118
25	229.7156605
26	227.9392975
27	226.5619083
28	225.3293661
29	224.07347
30	221.9454585
31	220.8752058
32	220.0195766
33	219.0298456
34	218.2423496
35	217.4554643
36	216.1145939
37	215.4210694
38	213.6765835
39	213.1876512
40	212.2363765
41	210.886448
42	209.4487963
43	208.5269264
44	208.0419461
45	207.5733115
46	206.9122003
47	206.2414523
48	205.4793796
49	204.9600681
50	203.7312622
51	203.359468
52	202.3328983
53	201.9379946
54	201.6153774
55	201.2396727
56	200.3253819
57	199.8355517
58	199.4904254
59	199.0109849
60	198.7349818
61	197.8969933
62	197.207182
63	196.4723614
64	195.7165361
65	195.2358071
66	194.792932
67	194.5828078
68	194.3646547
69	193.7476527
70	193.3464989
71	192.7054059
72	192.1832168
73	191.526858
74	191.3494729
75	191.0889018
76	190.6020353
77	190.4116818
78	190.0524579
79	189.6830027
80	189.3569454
81	189.1496732
82	188.9370746
83	188.7617012
84	188.6099988
85	188.4889275
86	188.368459
87	188.2002195
88	188.0240735
89	187.8749222
90	187.7386241
91	187.4775332
92	187.3274922
93	186.7500288
94	186.6418566
95	186.4120512
96	186.1596311
97	185.8535629
98	185.6549067
99	185.566072
100	185.1514656
101	184.870314
102	184.6710898
103	184.4054647
104	184.2996245
105	184.1843628
106	184.0484598
107	183.8484822
108	183.6641809
109	183.3909364
110	183.2858108
111	183.1615052
112	183.055333
113	182.8149588
114	182.5774455
115	182.4901411
116	182.208321
117	182.0265111
118	181.7668249
119	181.6087242
120	181.431513
121	181.3371168
122	181.2239104
123	180.9498749
124	180.8530586
125	180.5411296
126	180.368412
127	180.3039506
128	180.2216742
129	180.0731894
130	179.8155779
131	179.6022804
132	179.501619
133	179.3922938
134	179.3070955
135	179.2255918
136	179.1243338
137	178.9228004
138	178.8655697
139	178.7904961
140	178.6181186
141	178.5469472
142	178.4062637
143	178.2783242
144	178.1596249
145	177.9590041
146	177.8632512
147	177.7844273
148	177.6071905
149	177.5343315
150	177.2380412
151	177.1838959
152	177.125174
153	177.0056794
154	176.7362738
155	176.6614206
156	176.3858098
157	176.327805
158	176.1174133
159	176.0300489
160	175.9277645
161	175.8615348
162	175.7897549
163	175.6747254
164	175.4348208
165	175.2675157
166	175.1831408
167	175.050783
168	174.9825358
169	174.8139248
170	174.7661349
171	174.7142048
172	174.5854374
173	174.4512791
174	174.3695267
175	174.3004948
176	174.1994725
177	174.0840121
178	173.9782367
179	173.9382578
180	173.8580388
181	173.6672619
182	173.5228021
183	173.4701157
184	173.4277991
185	173.2844866
186	173.2264009
187	173.0603025
188	172.921906
189	172.879975
190	172.7739142
191	172.6160767
192	172.5063433
193	172.4224554
194	172.3189463
195	172.2551887
196	172.1461476
197	172.0531525
198	171.9289363
199	171.8617887
200	171.7313976
201	171.6621636
202	171.616708
203	171.5689533
204	171.5121301
205	171.390921
206	171.3117776
207	171.2731317
208	171.1940382
209	171.146496
210	171.0390925
211	170.9159526
212	170.8469026
213	170.7262186
214	170.6538971
215	170.5688211
216	170.5094597
217	170.416667
218	170.3158322
219	170.257125
220	170.1523985
221	170.0984236
222	170.0357475
223	169.9491855
224	169.9069681
225	169.8629326
226	169.7583408
227	169.7102196
228	169.6526117
229	169.5473444
230	169.4284877
231	169.3887549
232	169.3054268
233	169.2272601
234	169.2000206
235	169.1239649
236	169.0915288
237	168.9293488
238	168.8729084
239	168.8296833
240	168.771951
241	168.7269867
242	168.6813564
243	168.5250516
244	168.4778851
245	168.4422745
246	168.3761958
247	168.2398313
248	168.1685918
249	168.1480401
250	168.1021397
251	168.0706352
252	167.9761853
253	167.8954634
254	167.862312
255	167.8256027
256	167.7548605
257	167.648581
258	167.6134327
259	167.5616422
260	167.5343722
261	167.4293316
262	167.3742807
263	167.3314647
264	167.300946
265	167.2450342
266	167.1720386
267	167.1440508
268	167.0727381
269	167.018898
270	166.9750299
271	166.9342517
272	166.8817846
273	166.8530763
274	166.7642632
275	166.7061215
276	166.648167
277	166.5642855
278	166.5278389
279	166.4678202
280	166.4230718
281	166.3911572
282	166.3594188
283	166.2440308
284	166.1866437
285	166.1338356
286	166.1004153
287	166.0436383
288	166.0070081
289	165.9634982
290	165.937924
291	165.9014511
292	165.8713886
293	165.8381638
294	165.7961601
295	165.7500995
296	165.7279678
297	165.6882071
298	165.6422167
299	165.6040579
300	165.5454003
301	165.4030922
302	165.3117511
303	165.2789385
304	165.2543463
305	165.2316982
306	165.1006419
307	165.015372
308	164.8947667
309	164.8659763
310	164.818994
311	164.7840149
312	164.7643679
313	164.7034864
314	164.6639625
315	164.6276361
316	164.6038567
317	164.5018239
318	164.4127227
319	164.3658294
320	164.2945746
321	164.2707058
322	164.1841527
323	164.1143119
324	164.0704455
325	164.0083431
326	163.9701723
327	163.9191718
328	163.8630016
329	163.8398149
330	163.8039083
331	163.7739903
332	163.6627096
333	163.6335345
334	163.5428375
335	163.5136813
336	163.4878459
337	163.466094
338	163.3889804
339	163.3493502
340	163.2877936
341	163.247528
342	163.1752676
343	163.137351
344	163.0860892
345	163.0489455
346	163.0290578
347	162.9560995
348	162.8913328
349	162.8622521
350	162.8399939
351	162.7695717
352	162.7458823
353	162.666963
354	162.6323946
355	162.6090702
356	162.5805428
357	162.5495036
358	162.5226899
359	162.5016035
360	162.4837862
361	162.4652501
362	162.3929412
363	162.3269381
364	162.2843609
365	162.2163042
366	162.1431698
367	162.0831659
368	162.0547706
369	162.0104298
370	161.9800858
371	161.9294016
372	161.8481069
373	161.7908694
374	161.7290627
375	161.6722418
376	161.6462277
377	161.6169999
378	161.5889275
379	161.5379635
380	161.4855373
381	161.4583255
382	161.4367921
383	161.41457
384	161.3887783
385	161.3668821
386	161.3322698
387	161.2992034
388	161.2471002
389	161.2211105
390	161.2023498
391	161.1684671
392	161.1187754
393	161.0934812
394	161.045729
395	161.0127597
396	160.9785735
397	160.9395074
398	160.8896627
399	160.8438193
400	160.8053115
401	160.7702451
402	160.7513201
403	160.694762
404	160.6702898
405	160.6451503
406	160.6167919
407	160.5956157
408	160.5722859
409	160.535107
410	160.5027095
411	160.4858113
412	160.4370284
413	160.387651
414	160.3002358
415	160.2788897
416	160.2567025
417	160.2376439
418	160.2101612
419	160.1910873
420	160.165183
421	160.1435722
422	160.0962084
423	160.0183262
424	160.0046731
425	159.9816703
426	159.9642598
427	159.9546025
428	159.9250351
429	159.8581652
430	159.8173589
431	159.7606099
432	159.7313313
433	159.7102017
434	159.6887799
435	159.6523917
436	159.6330012
437	159.5990801
438	159.5807643
439	159.5668365
440	159.5493768
441	159.5134111
442	159.4482453
443	159.4070021
444	159.381055
445	159.3538288
446	159.3040726
447	159.2533943
448	159.2087016
449	159.1760496
450	159.1538989
451	159.0698589
452	159.027161
453	158.99769
454	158.9693635
455	158.9465735
456	158.8926869
457	158.8641211
458	158.7886091
459	158.7304861
460	158.6792577
461	158.632374
462	158.6127538
463	158.5757372
464	158.5395534
465	158.5241358
466	158.4824834
467	158.4446998
468	158.4206725
469	158.4020718
470	158.3754022
471	158.3554598
472	158.3237175
473	158.2986739
474	158.2803929
475	158.253269
476	158.2314809
477	158.2137711
478	158.1918146
479	158.1732356
480	158.1601173
481	158.1449803
482	158.132528
483	158.1090435
484	158.0629517
485	158.0455074
486	158.0256242
487	157.9857117
488	157.975215
489	157.9364495
490	157.9238812
491	157.8941057
492	157.8675542
493	157.8425394
494	157.8332142
495	157.8165417
496	157.787681
497	157.7674969
498	157.7328832
499	157.7013179
500	157.6630377
501	157.6377137
502	157.6189939
503	157.5958356
504	157.5726145
505	157.5507051
506	157.530127
507	157.4940854
508	157.4515461
509	157.4238064
510	157.4032968
511	157.3574168
512	157.2898032
513	157.2667794
514	157.2457945
515	157.2057914
516	157.1867018
517	157.1637896
518	157.1475348
519	157.1298726
520	157.1125233
521	157.0900709
522	157.0650128
523	157.0353748
524	156.9198377
525	156.8778027
526	156.8537342
527	156.8392111
528	156.8102565
529	156.7790163
530	156.7616875
531	156.7487673
532	156.70295
533	156.6696881
534	156.6501801
535	156.6248748
536	156.6050749
537	156.5820346
538	156.5744674
539	156.5584757
540	156.5369458
541	156.5036244
542	156.4508328
543	156.4139151
544	156.3597422
545	156.3517041
546	156.3136477
547	156.2951085
548	156.2602971
549	156.2417905
550	156.2177297
551	156.1934105
552	156.1618274
553	156.1324739
554	156.0988805
555	156.0836707
556	156.0796497
557	156.0588106
558	156.0482848
559	156.0330316
560	156.0190947
561	155.988838
562	155.9619583
563	155.9375211
564	155.9248734
565	155.908134
566	155.8871952
567	155.8689917
568	155.8482871
569	155.8204602
570	155.8041421
571	155.7853789
572	155.7635701
573	155.7479526
574	155.7243897
575	155.7098861
576	155.6887609
577	155.6699231
578	155.6546314
579	155.6091024
580	155.5940181
581	155.5698427
582	155.5385881
583	155.524568
584	155.5055014
585	155.4961565
586	155.4821504
587	155.4624308
588	155.4528936
589	155.3955749
590	155.378993
591	155.3540149
592	155.3306046
593	155.3146921
594	155.3036775
