iter	Passed	Remaining
0	50	50110
1	79	39896
2	103	34535
3	128	32027
4	163	32453
5	192	31821
6	213	30313
7	238	29625
8	269	29622
9	294	29173
10	322	29013
11	350	28842
12	377	28688
13	407	28682
14	435	28585
15	472	29054
16	503	29107
17	536	29265
18	570	29460
19	604	29611
20	633	29525
21	661	29420
22	686	29177
23	710	28891
24	753	29400
25	782	29331
26	807	29085
27	835	29004
28	860	28827
29	887	28694
30	913	28557
31	938	28378
32	968	28391
33	996	28298
34	1022	28180
35	1050	28124
36	1075	28000
37	1101	27890
38	1129	27843
39	1154	27701
40	1180	27612
41	1204	27467
42	1232	27426
43	1261	27411
44	1287	27326
45	1310	27184
46	1336	27096
47	1365	27090
48	1392	27019
49	1416	26915
50	1444	26871
51	1470	26804
52	1496	26730
53	1522	26678
54	1548	26602
55	1574	26538
56	1604	26543
57	1628	26443
58	1656	26415
59	1685	26402
60	1715	26409
61	1741	26351
62	1768	26306
63	1797	26284
64	1829	26317
65	1860	26329
66	1890	26331
67	1918	26298
68	1945	26244
69	1969	26172
70	1996	26124
71	2026	26125
72	2055	26098
73	2084	26088
74	2111	26043
75	2137	25986
76	2179	26123
77	2214	26174
78	2245	26173
79	2270	26106
80	2299	26094
81	2327	26057
82	2352	25991
83	2381	25968
84	2408	25928
85	2436	25893
86	2462	25841
87	2491	25817
88	2515	25747
89	2545	25734
90	2573	25705
91	2602	25681
92	2630	25650
93	2658	25623
94	2685	25578
95	2712	25543
96	2740	25515
97	2769	25490
98	2793	25427
99	2820	25386
100	2847	25347
101	2872	25292
102	2901	25265
103	2926	25209
104	2956	25199
105	2986	25184
106	3013	25152
107	3038	25099
108	3065	25061
109	3096	25057
110	3122	25010
111	3151	24989
112	3186	25009
113	3217	25004
114	3248	25000
115	3274	24953
116	3301	24916
117	3330	24893
118	3360	24882
119	3386	24835
120	3414	24806
121	3438	24743
122	3466	24718
123	3505	24766
124	3531	24722
125	3556	24670
126	3584	24640
127	3611	24601
128	3635	24543
129	3661	24503
130	3688	24467
131	3713	24415
132	3741	24390
133	3768	24354
134	3800	24354
135	3826	24308
136	3851	24258
137	3875	24205
138	3900	24163
139	3923	24102
140	3948	24054
141	3974	24014
142	4004	23996
143	4024	23922
144	4047	23868
145	4077	23850
146	4106	23829
147	4129	23773
148	4160	23761
149	4186	23722
150	4219	23725
151	4250	23714
152	4284	23716
153	4311	23682
154	4336	23638
155	4360	23592
156	4389	23567
157	4413	23522
158	4438	23477
159	4466	23448
160	4492	23410
161	4518	23372
162	4547	23350
163	4571	23305
164	4602	23293
165	4632	23273
166	4656	23227
167	4684	23199
168	4709	23158
169	4736	23123
170	4761	23082
171	4786	23043
172	4815	23021
173	4845	23002
174	4877	22995
175	4903	22957
176	4928	22915
177	4959	22900
178	4984	22860
179	5008	22814
180	5034	22782
181	5061	22749
182	5090	22725
183	5110	22665
184	5133	22616
185	5164	22599
186	5192	22575
187	5213	22519
188	5241	22493
189	5271	22473
190	5292	22418
191	5320	22391
192	5349	22366
193	5375	22332
194	5398	22286
195	5426	22258
196	5453	22228
197	5482	22206
198	5507	22169
199	5535	22140
200	5560	22103
201	5584	22063
202	5609	22025
203	5636	21991
204	5663	21965
205	5691	21937
206	5719	21910
207	5745	21878
208	5771	21844
209	5799	21817
210	5829	21799
211	5857	21770
212	5882	21733
213	5913	21719
214	5940	21689
215	5967	21658
216	5992	21622
217	6022	21604
218	6047	21568
219	6079	21554
220	6109	21534
221	6139	21516
222	6164	21477
223	6191	21448
224	6222	21432
225	6245	21390
226	6271	21357
227	6296	21320
228	6325	21297
229	6355	21275
230	6379	21236
231	6407	21210
232	6434	21182
233	6459	21146
234	6485	21113
235	6512	21083
236	6540	21055
237	6569	21032
238	6597	21007
239	6624	20976
240	6652	20949
241	6680	20923
242	6706	20891
243	6733	20863
244	6765	20847
245	6788	20807
246	6815	20777
247	6844	20753
248	6870	20722
249	6900	20701
250	6929	20677
251	6958	20655
252	6989	20636
253	7018	20614
254	7048	20592
255	7077	20569
256	7105	20541
257	7133	20515
258	7161	20488
259	7188	20459
260	7213	20424
261	7242	20400
262	7269	20370
263	7295	20337
264	7322	20310
265	7347	20275
266	7377	20252
267	7405	20227
268	7429	20189
269	7457	20162
270	7485	20136
271	7509	20098
272	7537	20072
273	7560	20033
274	7591	20012
275	7622	19994
276	7650	19968
277	7677	19938
278	7706	19914
279	7732	19883
280	7760	19857
281	7787	19827
282	7814	19797
283	7841	19769
284	7869	19742
285	7899	19720
286	7926	19691
287	7953	19661
288	7981	19636
289	8009	19610
290	8034	19576
291	8060	19544
292	8087	19514
293	8115	19487
294	8143	19460
295	8169	19430
296	8194	19397
297	8222	19370
298	8252	19346
299	8278	19316
300	8301	19278
301	8331	19257
302	8358	19226
303	8383	19192
304	8413	19171
305	8440	19142
306	8464	19107
307	8494	19084
308	8522	19059
309	8550	19031
310	8576	19000
311	8601	18968
312	8626	18933
313	8655	18910
314	8680	18877
315	8706	18846
316	8728	18805
317	8755	18776
318	8785	18755
319	8810	18721
320	8835	18688
321	8862	18660
322	8892	18637
323	8918	18607
324	8942	18572
325	8969	18543
326	8995	18513
327	9018	18476
328	9042	18441
329	9071	18417
330	9099	18391
331	9126	18362
332	9154	18335
333	9180	18306
334	9201	18265
335	9228	18238
336	9255	18208
337	9278	18173
338	9303	18140
339	9333	18117
340	9357	18084
341	9384	18054
342	9412	18029
343	9437	17998
344	9462	17964
345	9488	17934
346	9511	17898
347	9538	17871
348	9567	17845
349	9592	17814
350	9618	17784
351	9648	17761
352	9672	17728
353	9697	17696
354	9726	17671
355	9756	17648
356	9780	17615
357	9808	17589
358	9832	17556
359	9858	17525
360	9886	17499
361	9908	17463
362	9937	17437
363	9961	17405
364	9987	17375
365	10015	17349
366	10045	17326
367	10072	17299
368	10094	17262
369	10124	17238
370	10153	17213
371	10181	17187
372	10204	17154
373	10233	17129
374	10258	17096
375	10285	17069
376	10309	17036
377	10336	17008
378	10363	16981
379	10387	16947
380	10414	16919
381	10439	16889
382	10465	16860
383	10485	16821
384	10514	16795
385	10541	16767
386	10567	16739
387	10588	16702
388	10616	16675
389	10646	16652
390	10670	16619
391	10699	16595
392	10732	16577
393	10764	16556
394	10799	16540
395	10835	16526
396	10867	16505
397	10901	16489
398	10936	16473
399	10972	16458
400	11006	16441
401	11040	16423
402	11075	16406
403	11110	16391
404	11141	16368
405	11173	16347
406	11206	16328
407	11239	16308
408	11267	16281
409	11300	16261
410	11333	16242
411	11367	16223
412	11406	16212
413	11447	16203
414	11484	16189
415	11515	16166
416	11550	16149
417	11582	16126
418	11619	16112
419	11650	16088
420	11681	16065
421	11716	16047
422	11751	16029
423	11785	16009
424	11817	15988
425	11849	15966
426	11883	15947
427	11915	15924
428	11947	15902
429	11984	15886
430	12019	15868
431	12053	15847
432	12085	15825
433	12121	15808
434	12156	15788
435	12193	15773
436	12273	15811
437	12315	15802
438	12355	15789
439	12384	15761
440	12412	15733
441	12442	15708
442	12475	15685
443	12521	15679
444	12552	15655
445	12578	15624
446	12606	15596
447	12636	15569
448	12663	15540
449	12691	15511
450	12721	15486
451	12753	15462
452	12781	15433
453	12805	15400
454	12836	15376
455	12864	15347
456	12890	15316
457	12919	15288
458	12947	15260
459	12974	15230
460	13005	15206
461	13033	15177
462	13058	15145
463	13087	15118
464	13113	15087
465	13136	15053
466	13166	15026
467	13190	14993
468	13213	14960
469	13238	14927
470	13267	14901
471	13293	14871
472	13316	14836
473	13343	14807
474	13368	14775
475	13394	14745
476	13418	14712
477	13446	14683
478	13476	14658
479	13506	14631
480	13530	14599
481	13554	14566
482	13582	14538
483	13606	14505
484	13635	14479
485	13665	14452
486	13692	14423
487	13715	14390
488	13741	14359
489	13768	14330
490	13794	14299
491	13822	14271
492	13847	14240
493	13875	14212
494	13898	14179
495	13922	14146
496	13948	14116
497	13976	14088
498	14001	14057
499	14025	14025
500	14057	14001
501	14087	13975
502	14114	13945
503	14140	13915
504	14168	13887
505	14192	13855
506	14221	13828
507	14250	13801
508	14275	13770
509	14301	13740
510	14326	13709
511	14355	13682
512	14384	13655
513	14404	13620
514	14432	13591
515	14459	13562
516	14487	13534
517	14506	13498
518	14534	13470
519	14562	13442
520	14586	13410
521	14606	13375
522	14630	13343
523	14659	13316
524	14686	13287
525	14714	13259
526	14744	13233
527	14767	13201
528	14791	13169
529	14814	13137
530	14838	13105
531	14863	13075
532	14890	13046
533	14917	13017
534	14943	12988
535	14970	12959
536	14995	12928
537	15024	12902
538	15048	12870
539	15074	12841
540	15105	12816
541	15133	12788
