iter	RMSE
0	4158.733968
1	4158.318339
2	4157.922164
3	4157.501336
4	4156.983564
5	4156.59961
6	4155.947819
7	4155.569519
8	4155.17795
9	4154.819915
10	4154.494805
11	4154.141635
12	4153.826507
13	4153.502796
14	4153.161519
15	4152.831021
16	4152.540696
17	4152.224064
18	4151.922467
19	4151.640812
20	4151.350265
21	4151.05805
22	4150.71252
23	4150.426519
24	4150.155634
25	4149.801864
26	4149.387487
27	4149.107099
28	4148.860534
29	4148.565271
30	4148.312822
31	4148.074992
32	4147.819066
33	4147.586808
34	4147.305125
35	4147.073861
36	4146.838086
37	4146.643006
38	4146.427043
39	4146.218297
40	4145.848424
41	4145.650225
42	4145.424534
43	4145.213964
44	4145.010475
45	4144.814974
46	4144.450418
47	4144.300493
48	4144.074567
49	4143.858458
50	4143.666244
51	4143.479948
52	4143.294736
53	4143.12646
54	4142.952916
55	4142.769235
56	4142.602075
57	4142.437916
58	4142.283866
59	4142.050621
60	4141.892897
61	4141.446995
62	4141.290088
63	4140.992782
64	4140.787773
65	4140.628811
66	4140.46872
67	4140.218332
68	4139.916321
69	4139.617752
70	4139.474111
71	4139.334001
72	4138.803616
73	4137.905111
74	4137.772886
75	4137.63609
76	4137.524807
77	4137.296213
78	4136.544143
79	4136.325294
80	4136.188929
81	4136.076393
82	4135.960795
83	4135.8495
84	4135.727424
85	4135.603359
86	4135.500985
87	4135.396627
88	4134.969172
89	4134.874751
90	4134.790682
91	4134.615885
92	4134.515148
93	4134.403867
94	4134.309543
95	4134.212559
96	4134.113265
97	4134.008197
98	4133.914798
99	4133.757334
100	4133.625259
101	4133.52959
102	4133.416838
103	4133.104239
104	4132.984414
105	4132.89421
106	4132.691481
107	4132.611046
108	4132.130102
109	4132.033313
110	4131.947166
111	4130.832402
112	4130.745627
113	4130.664617
114	4130.291095
115	4129.310925
116	4128.965926
117	4128.893698
118	4128.82748
119	4128.74986
120	4128.64549
121	4128.576348
122	4128.521963
123	4128.350379
124	4128.240729
125	4128.165712
126	4127.459981
127	4127.398244
128	4126.617186
129	4125.331459
130	4125.115721
131	4125.05843
132	4124.985912
133	4124.933843
134	4124.852783
135	4124.776598
136	4124.720294
137	4124.381589
138	4124.326398
139	4124.267136
140	4124.218909
141	4124.043557
142	4123.979048
143	4123.925476
144	4123.858078
145	4123.798898
146	4123.731529
147	4123.674134
148	4123.04633
149	4122.977589
150	4122.743983
151	4122.691658
152	4122.181594
153	4122.136198
154	4122.088618
155	4122.030735
156	4121.976512
157	4121.910981
158	4121.858845
159	4121.273191
160	4121.220553
161	4120.902842
162	4120.856342
163	4120.240241
164	4119.799402
165	4119.755006
166	4119.7072
167	4119.646789
168	4119.588246
169	4119.413229
170	4119.371457
171	4119.327779
172	4118.268221
173	4118.227269
174	4118.144749
175	4118.085935
176	4118.061318
177	4118.017812
178	4117.976453
179	4117.938774
180	4117.894914
181	4117.857521
182	4117.811702
183	4116.76366
184	4116.729075
185	4115.6904
186	4115.647405
187	4115.584522
188	4115.555938
189	4115.517301
190	4115.477268
191	4115.445423
192	4115.408894
193	4115.37124
194	4115.286403
195	4115.174431
196	4115.141171
197	4115.111091
198	4115.094912
199	4115.056519
200	4115.025688
201	4114.987026
202	4114.897635
203	4114.866489
204	4114.705974
205	4114.677598
206	4114.177474
207	4113.823649
208	4113.791874
209	4113.761781
210	4113.729338
211	4113.412628
212	4113.380666
213	4113.351373
214	4113.031237
215	4112.011071
216	4111.982992
217	4111.921155
218	4111.894617
219	4111.866187
220	4111.844555
221	4111.819439
222	4110.809768
223	4110.780858
224	4110.708876
225	4110.689848
226	4110.621378
227	4110.602555
228	4110.573238
229	4110.548783
230	4110.522491
231	4110.492474
232	4110.462178
233	4110.438897
234	4110.407881
235	4110.384569
236	4110.365166
237	4110.285023
238	4110.264844
239	4110.156475
240	4110.089237
241	4109.921599
242	4109.597165
243	4109.574417
244	4109.546604
245	4109.530872
246	4109.486588
247	4109.289669
248	4109.24325
249	4109.203401
250	4109.177523
251	4109.14273
252	4109.122396
253	4109.101834
254	4109.054892
255	4109.031348
256	4109.005216
257	4108.982157
258	4108.958852
259	4108.916898
260	4108.898101
261	4108.356659
262	4108.33697
263	4108.314553
264	4108.291127
265	4108.265189
266	4108.244163
267	4108.228012
268	4108.214884
269	4108.095802
270	4108.07726
271	4108.057974
272	4108.044174
273	4108.021843
274	4108.009247
275	4107.96773
276	4107.948645
277	4107.930639
278	4107.915416
279	4107.755147
280	4107.744095
281	4107.721498
282	4107.228917
283	4107.211868
284	4107.192377
285	4107.174067
286	4107.135257
287	4107.070107
288	4106.981348
289	4106.958869
290	4106.915233
291	4105.92148
292	4105.912329
293	4105.895589
294	4105.880615
295	4105.867074
296	4105.852515
297	4105.836839
298	4105.818522
299	4105.801303
300	4105.785152
301	4105.76019
302	4105.743205
303	4105.730085
304	4105.718089
305	4105.704826
306	4105.689841
307	4105.675321
308	4105.656475
309	4105.643194
310	4105.625292
311	4105.507226
312	4105.489117
313	4105.470595
314	4105.164621
315	4105.155117
316	4105.143387
317	4105.101644
318	4104.957487
319	4104.674519
320	4104.616658
321	4104.543199
322	4104.515118
323	4104.49846
324	4104.480177
325	4104.464924
326	4103.482387
327	4103.234237
328	4103.217373
329	4103.207603
330	4103.191453
331	4102.939875
332	4101.966461
333	4101.951419
334	4101.938854
335	4101.907093
336	4101.850789
337	4101.842549
338	4101.816237
339	4101.803379
340	4101.792764
341	4101.775504
342	4101.764543
343	4101.755015
344	4101.744248
345	4101.053129
346	4101.041953
347	4101.031839
348	4101.020369
349	4100.820099
350	4100.804795
351	4100.793177
352	4100.400676
353	4100.382387
354	4100.370782
355	4100.364409
356	4100.3514
357	4100.337659
358	4100.300525
359	4100.293356
360	4100.187782
361	4100.176627
362	4100.161967
363	4100.151483
364	4100.143099
365	4100.132949
366	4100.117751
367	4100.109576
368	4100.098376
369	4099.524702
370	4099.513531
371	4099.492428
372	4099.482043
373	4099.16656
374	4099.154244
375	4099.148012
376	4099.136641
377	4099.129415
378	4099.122015
379	4099.093658
380	4099.083899
381	4099.071732
382	4099.066479
383	4099.041584
384	4099.032007
385	4099.023186
386	4099.011729
387	4098.999953
388	4098.97864
389	4098.968154
390	4098.959574
391	4098.953479
392	4098.946395
393	4098.938152
394	4098.928821
395	4098.918422
396	4098.911851
397	4098.901432
398	4098.894733
399	4098.867239
400	4098.860924
401	4098.855351
402	4098.846644
403	4098.834093
404	4098.824957
405	4098.816904
406	4098.807186
407	4098.728136
408	4098.707238
409	4098.701619
410	4098.696852
