iter	Passed	Remaining
0	26	26717
1	47	23905
2	67	22347
3	88	21931
4	108	21613
5	130	21574
6	152	21610
7	177	21982
8	197	21722
9	218	21674
10	240	21618
11	259	21382
12	279	21242
13	301	21239
14	323	21262
15	344	21162
16	363	21001
17	383	20897
18	404	20894
19	425	20831
20	446	20820
21	467	20769
22	487	20725
23	510	20742
24	529	20659
25	550	20627
26	572	20615
27	592	20566
28	611	20486
29	632	20463
30	653	20416
31	672	20343
32	691	20277
33	710	20198
34	730	20130
35	749	20077
36	769	20040
37	789	19996
38	808	19923
39	829	19900
40	849	19870
41	869	19841
42	889	19802
43	909	19762
44	929	19733
45	948	19679
46	970	19679
47	990	19642
48	1011	19627
49	1032	19624
50	1053	19602
51	1074	19583
52	1094	19555
53	1115	19541
54	1136	19519
55	1156	19492
56	1176	19469
57	1197	19442
58	1216	19403
59	1239	19416
60	1260	19399
61	1280	19372
62	1301	19353
63	1322	19338
64	1343	19321
65	1361	19271
66	1381	19243
67	1401	19208
68	1421	19180
69	1440	19140
70	1460	19109
71	1479	19068
72	1499	19045
73	1519	19018
74	1541	19012
75	1561	18982
76	1581	18955
77	1600	18919
78	1620	18891
79	1644	18906
80	1663	18877
81	1683	18844
82	1704	18830
83	1724	18804
84	1745	18784
85	1765	18761
86	1784	18727
87	1809	18750
88	1830	18732
89	1848	18694
90	1868	18663
91	1889	18649
92	1910	18634
93	1932	18625
94	1951	18587
95	1970	18558
96	1989	18522
97	2008	18485
98	2027	18452
99	2047	18424
100	2067	18406
101	2087	18380
102	2107	18357
103	2128	18335
104	2148	18314
105	2167	18280
106	2188	18262
107	2208	18240
108	2228	18215
109	2249	18203
110	2270	18185
111	2290	18157
112	2312	18153
113	2332	18124
114	2351	18093
115	2370	18064
116	2390	18040
117	2409	18013
118	2428	17977
119	2449	17960
120	2470	17944
121	2488	17910
122	2507	17878
123	2527	17858
124	2548	17837
125	2568	17813
126	2588	17791
127	2608	17769
128	2630	17758
129	2651	17746
130	2671	17719
131	2690	17690
132	2710	17672
133	2730	17649
134	2751	17632
135	2773	17619
136	2792	17593
137	2813	17577
138	2832	17546
139	2852	17520
140	2873	17503
141	2895	17495
142	2918	17490
143	2937	17462
144	2957	17440
145	2977	17417
146	2997	17392
147	3017	17368
148	3036	17341
149	3057	17327
150	3078	17307
151	3102	17306
152	3122	17288
153	3143	17269
154	3163	17248
155	3188	17252
156	3209	17235
157	3235	17240
158	3256	17223
159	3280	17221
160	3301	17206
161	3321	17183
162	3341	17159
163	3361	17135
164	3383	17120
165	3408	17122
166	3430	17109
167	3453	17101
168	3477	17097
169	3500	17088
170	3522	17076
171	3543	17058
172	3564	17038
173	3587	17028
174	3609	17014
175	3630	16999
176	3653	16985
177	3674	16967
178	3696	16953
179	3715	16925
180	3736	16906
181	3756	16881
182	3778	16870
183	3799	16849
184	3820	16831
185	3842	16816
186	3866	16807
187	3886	16786
188	3909	16776
189	3930	16754
190	3950	16734
191	3970	16710
192	3991	16689
193	4013	16674
194	4034	16654
195	4055	16636
196	4077	16618
197	4099	16605
198	4123	16595
199	4143	16574
200	4164	16553
201	4185	16532
202	4210	16530
203	4232	16514
204	4255	16504
205	4276	16482
206	4297	16462
207	4319	16445
208	4338	16420
209	4359	16399
210	4378	16373
211	4398	16350
212	4419	16329
213	4441	16312
214	4461	16288
215	4481	16265
216	4501	16241
217	4523	16224
218	4542	16200
219	4563	16179
220	4582	16153
221	4601	16125
222	4621	16102
223	4640	16077
224	4660	16054
225	4679	16027
226	4700	16006
227	4720	15985
228	4740	15959
229	4759	15935
230	4778	15907
231	4797	15882
232	4816	15855
233	4835	15828
234	4854	15801
235	4875	15783
236	4895	15761
237	4917	15743
238	4943	15739
239	4966	15728
240	4990	15717
241	5011	15697
242	5032	15678
243	5053	15658
244	5074	15638
245	5098	15626
246	5120	15610
247	5140	15588
248	5161	15567
249	5181	15545
250	5203	15526
251	5223	15503
252	5243	15480
253	5264	15460
254	5284	15438
255	5303	15413
256	5326	15399
257	5347	15378
258	5368	15358
259	5388	15336
260	5408	15314
261	5428	15290
262	5447	15265
263	5467	15242
264	5486	15216
265	5505	15191
266	5523	15164
267	5541	15136
268	5559	15107
269	5579	15084
270	5597	15058
271	5617	15034
272	5635	15006
273	5655	14985
274	5674	14960
275	5694	14938
276	5715	14916
277	5735	14895
278	5755	14872
279	5775	14850
280	5794	14826
281	5813	14800
282	5833	14779
283	5853	14757
284	5873	14736
285	5892	14711
286	5911	14686
287	5933	14668
288	5955	14651
289	5975	14629
290	5994	14605
291	6014	14583
292	6034	14560
293	6054	14538
294	6074	14518
295	6095	14496
296	6114	14474
297	6133	14448
298	6153	14427
299	6172	14403
300	6192	14381
301	6211	14357
302	6231	14335
303	6251	14313
304	6271	14291
305	6292	14272
306	6311	14246
307	6330	14223
308	6350	14201
309	6371	14180
310	6392	14162
311	6413	14141
312	6433	14120
313	6453	14098
314	6472	14074
315	6494	14057
316	6513	14033
317	6534	14014
318	6553	13990
319	6573	13968
